author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/300681382/,Москва,sale,flat,8,12,2,51.7,-1,0,10350000,Силино,Зеленоград,к1106,Зеленоград — Крюково,
Олег Талалай,realtor,https://www.cian.ru/sale/flat/300994472/,Москва,sale,flat,2,4,2,58.2,-1,0,49590000,Тверской,Малый Гнездниковский переулок,10,Тверская,
Наталья Ронжина,realtor,https://www.cian.ru/sale/flat/301614406/,Москва,sale,flat,2,8,2,42.3,-1,0,19990000,Аэропорт,Ленинградский проспект,78К2,Сокол,
Диана Мухамедова,realtor,https://www.cian.ru/sale/flat/297839099/,Москва,sale,flat,6,24,2,61.4,-1,0,28000000,Сокол, Алабяна,13к1,Панфиловская,Мономах
ID 96167522,realtor,https://www.cian.ru/sale/flat/290537372/,Москва,sale,flat,3,9,2,48.7,-1,0,10200000,Люблино, Верхние Поля,27С2,Братиславская,
Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/288702404/,Москва,sale,flat,5,14,2,68.0,-1,0,20700000,Рязанский,1-я Новокузьминская ,22К3,Рязанский проспект,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/277370296/,Москва,sale,flat,2,7,2,60.4,-1,0,50462511,Пресненский,Никитский бульвар,12,Арбатская,
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/300776288/,Москва,sale,flat,3,14,2,60.0,-1,0,13600000,Старое Крюково,Солнечная аллея,к936,Зеленоград — Крюково,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300812063/,Москва,sale,flat,2,3,2,77.0,-1,0,50000000,Хамовники,Саввинская набережная,5,Киевская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/299018185/,Москва,sale,flat,2,5,2,105.0,-1,0,160000000,Тверской,Никольская ,10/2С2б,Лубянка,St. Nickolas
Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/300929810/,Москва,sale,flat,4,5,2,42.8,-1,0,17300000,Фили-Давыдково,Минская ,15К1,Филёвский парк,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/301493797/,Москва,sale,flat,9,32,2,63.0,-1,0,52000000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298650795/,Москва,sale,flat,28,48,2,82.0,-1,0,55000000,Щукино,Авиационная ,77к2,Щукинская,Алые Паруса
ID 92212531,homeowner,https://www.cian.ru/sale/flat/301023848/,Москва,sale,flat,2,17,2,58.2,-1,0,18000000,Раменки, Раменки,12,Раменки,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/298842311/,Москва,sale,flat,6,21,2,41.0,-1,0,54000000,Новое предложение в Донском е2-комн. квартира,41 м²,,,
ID 413522,realtor,https://www.cian.ru/sale/flat/301735009/,Москва,sale,flat,10,14,2,99.61,-1,0,91999000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Семен Гилеб,realtor,https://www.cian.ru/sale/flat/299674948/,Москва,sale,flat,7,13,2,64.2,-1,0,25000000,Академический,Новочеремушкинская ,27,Академическая,"Новочерёмушкинская, 27"
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/299012262/,Москва,sale,flat,3,6,2,58.0,-1,0,59990000,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/298842309/,Москва,sale,flat,7,21,2,41.0,-1,0,55000000,Якиманка,Донская ,14,Шаболовская,Медный 3.14
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/299929535/,Москва,sale,flat,16,22,2,56.0,-1,0,18250000,Черемушки,Перекопская ,34к2,Новые Черёмушки,
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/300032614/,Москва,sale,flat,2,9,2,46.0,-1,0,10700000,Текстильщики,Грайвороновская ,18К3,Текстильщики,
PANDA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/301309022/,Москва,sale,flat,9,9,2,80.0,-1,0,80000000,Хамовники,Ружейный переулок,3,Смоленская,Смоленская Застава
Владимир Фетискин,realtor,https://www.cian.ru/sale/flat/298110261/,Москва,sale,flat,4,12,2,47.9,-1,0,12300000,Черемушки,Херсонская ,33,Зюзино,
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/301127907/,Москва,sale,flat,7,38,2,81.1,-1,0,45000000,Щукино,Авиационная ,77к2,Щукинская,Алые Паруса
Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/sale/flat/300284866/,Москва,sale,flat,19,24,2,70.0,-1,0,42000000,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,Династия
Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/sale/flat/299154733/,Москва,sale,flat,11,21,2,44.9,-1,0,13900000,Сокольники, Сокольнический Вал,3,Рижская,Резиденция Сокольники
MOD estate,real_estate_agent,https://www.cian.ru/sale/flat/301499581/,Москва,sale,flat,4,21,2,71.8,-1,0,29850000,Щукино,Щукинская ,3,Щукинская,Интонация
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/300555057/,Москва,sale,flat,15,32,2,64.0,-1,0,52500000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/301306229/,Москва,sale,flat,11,12,2,48.8,-1,0,11700000,Царицыно,Ереванская ,24К1,Царицыно,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300527651/,Москва,sale,flat,2,34,2,62.7,-1,0,29000000,Хорошево-Мневники,Шелепихинская набережная,34к4зд8,Шелепиха,Сердце Столицы
MOD estate,real_estate_agent,https://www.cian.ru/sale/flat/299331510/,Москва,sale,flat,14,24,2,73.7,-1,0,35000000,Нагатинский затон,проспект Андропова,9/1,Технопарк,Dream Towers
Место,real_estate_agent,https://www.cian.ru/sale/flat/299798481/,Москва,sale,flat,11,12,2,39.1,-1,0,10950000,Северное Измайлово,11-я Парковая ,48К2,Щёлковская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/289806244/,Москва,sale,flat,2,8,2,61.5,-1,0,51000000,Таганский,Серебряническая набережная,11,Китай-город,Титул на Серебрянической
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/294203461/,Москва,sale,flat,2,9,2,60.0,-1,0,93700000,Таганский,Большой Николоворобинский переулок,9к1,Китай-город,Дом NV/9
Брусника Обмен,real_estate_agent,https://www.cian.ru/sale/flat/301578945/,Москва,sale,flat,2,12,2,44.8,-1,0,12200000,Нагатинский затон,Нагатинская набережная,60К2,Коломенская,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300927335/,Москва,sale,flat,4,6,2,105.6,-1,0,98000000,Арбат, Арбат,15/43,Арбатская,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/296351713/,Москва,sale,flat,13,16,2,75.3,-1,0,54000000,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/sale/flat/301314745/,Москва,sale,flat,12,17,2,53.2,-1,0,16000000,Тропарево-Никулино,Никулинская ,15К1,Озёрная,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300190263/,Москва,sale,flat,3,5,2,41.23,-1,0,40900000,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse
ID 413522,realtor,https://www.cian.ru/sale/flat/301734977/,Москва,sale,flat,11,12,2,113.91,-1,0,118850000,Хамовники, Усачева,13,Спортивная,Садовые кварталы
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299166849/,Москва,sale,flat,10,17,2,41.2,-1,0,19900000,Раменки,проспект Вернадского,10к1,Университет,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299107582/,Москва,sale,flat,5,6,2,94.0,-1,0,110000000,Замоскворечье,Садовническая набережная,7,Новокузнецкая,BALCHUG VIEWPOINT
Егор Палагин,realtor,https://www.cian.ru/sale/flat/298460605/,Москва,sale,flat,17,21,2,87.5,-1,0,36999999,Алексеевский,Новоалексеевская ,16к2,Алексеевская,Серебряный фонтан
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301700351/,Москва,sale,flat,10,12,2,48.0,-1,0,15290000,Бескудниковский,Бескудниковский бульвар,40К1,Яхромская,
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/300111482/,Москва,sale,flat,22,26,2,67.0,-1,0,30490000,Покровское-Стрешнево,,к6,Спартак,Алиа ЖК
MERSI,real_estate_agent,https://www.cian.ru/sale/flat/300503865/,Москва,sale,flat,4,8,2,54.7,-1,0,21900000,Сокол, Алабяна,3К1,Сокол,
EuroDoma,real_estate_agent,https://www.cian.ru/sale/flat/299107562/,Москва,sale,flat,9,9,2,42.0,-1,0,16490000,Марьина роща,Трифоновская ,4,Достоевская,
Estes,real_estate_agent,https://www.cian.ru/sale/flat/300479650/,Москва,sale,flat,12,26,2,45.3,-1,0,25000000,Покровское-Стрешнево,Летная ,95Бк2,Спартак,ÁLIA
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/300591352/,Москва,sale,flat,35,37,2,59.7,-1,0,25000000,Раменки,Мосфильмовская ,98к2,Аминьевская,Огни
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300841537/,Москва,sale,flat,17,17,2,44.0,-1,0,13900000,Печатники, Гурьянова,2К2,Печатники,
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/288307714/,Москва,sale,flat,46,75,2,114.0,-1,0,86000000,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,Меркурий Тауэр
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/280116651/,Москва,sale,flat,62,77,2,111.0,-1,0,149000000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/300048777/,Москва,sale,flat,5,5,2,45.2,-1,0,11250000,Царицыно, Бехтерева,35К2,Царицыно,
Мария Позднякова,realtor,https://www.cian.ru/sale/flat/301869167/,Москва,sale,flat,3,12,2,45.9,-1,0,13999000,Западное Дегунино, Маршала Федоренко,8К2,Ховрино,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301162934/,Москва,sale,flat,5,6,2,67.4,-1,0,31500000,Замоскворечье,Большая Серпуховская ,31К3,Серпуховская,
Елена Бакина,realtor,https://www.cian.ru/sale/flat/300829352/,Москва,sale,flat,6,12,2,53.3,-1,0,13500000,Бибирево, Корнейчука,24,Бибирево,
Метриум-Премиум Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301500632/,Москва,sale,flat,12,18,2,82.0,-1,0,70000000,Беговой,Ленинградский проспект,29к1,Динамо,Царская площадь
Vesco Realty,real_estate_agent,https://www.cian.ru/sale/flat/295368581/,Москва,sale,flat,3,9,2,135.4,-1,0,145000000,Якиманка, Малая Полянка,2,Полянка,Онегин
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301790761/,Москва,sale,flat,2,22,2,55.8,-1,0,17500000,Западное Дегунино,Дегунинская ,3к2,Моссельмаш,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/271842660/,Москва,sale,flat,3,9,2,65.0,-1,0,91823899,Пресненский,Большая Бронная ,9/1,Пушкинская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/290001136/,Москва,sale,flat,2,6,2,75.0,-1,0,84750000,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
Виктория Грудько,realtor,https://www.cian.ru/sale/flat/301173964/,Москва,sale,flat,2,9,2,45.8,-1,0,16600000,Коньково, Академика Волгина,25К2,Беляево,
